date,Poland,Bangladesh
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,5,0
2020-03-07,5,0
2020-03-08,11,0
2020-03-09,16,3
2020-03-10,22,3
2020-03-11,31,3
2020-03-12,49,3
2020-03-13,68,3
2020-03-14,103,3
2020-03-15,119,3
2020-03-16,177,5
2020-03-17,238,8
2020-03-18,251,10
2020-03-19,355,14
2020-03-20,425,17
2020-03-21,536,20
2020-03-22,634,25
2020-03-23,749,27
2020-03-24,901,33
2020-03-25,1051,39
2020-03-26,1221,39
2020-03-27,1389,44
2020-03-28,1638,48
2020-03-29,1862,48
2020-03-30,2055,48
2020-03-31,2311,49
2020-04-01,2554,51
2020-04-02,2946,54
2020-04-03,3383,56
2020-04-04,3627,61
2020-04-05,4102,70
2020-04-06,4413,88
2020-04-07,4848,123
2020-04-08,5205,164
2020-04-09,5575,218
2020-04-10,5955,330
2020-04-11,6356,424
2020-04-12,6674,482
2020-04-13,6934,621
2020-04-14,7202,803
2020-04-15,7582,1012
2020-04-16,7918,1231
2020-04-17,8379,1572
2020-04-18,8742,1838
2020-04-19,9287,2144
2020-04-20,9593,2456
2020-04-21,9856,2948
2020-04-22,10169,3382
2020-04-23,10511,3772
2020-04-24,10892,4186
2020-04-25,11273,4689
2020-04-26,11617,4998
2020-04-27,11902,5416
2020-04-28,12218,5913
2020-04-29,12640,6462
2020-04-30,12877,7103
2020-05-01,13105,7667
2020-05-02,13375,8238
2020-05-03,13693,8790
2020-05-04,14006,9455
2020-05-05,14431,10143
2020-05-06,14740,10929
2020-05-07,15047,11719
2020-05-08,15366,12425
2020-05-09,15651,13134
2020-05-10,15996,13770
2020-05-11,16326,14657
2020-05-12,16921,15691
2020-05-13,17204,16660
2020-05-14,17615,17822
2020-05-15,18016,18863
2020-05-16,18257,20065
2020-05-17,18529,20995
2020-05-18,18885,22268
2020-05-19,19268,23870
2020-05-20,19739,25121
2020-05-21,20143,26738
2020-05-22,20619,28511
2020-05-23,20931,30205
2020-05-24,21326,32078
2020-05-25,21631,33610
2020-05-26,22074,35585
2020-05-27,22473,36751
2020-05-28,22825,38292
2020-05-29,23155,40321
2020-05-30,23571,42844
2020-05-31,23786,44608
